,GLOBAL_ID,IDENT,NAME,ELEVATION,ICAO_ID
0,BF0FD5CF-36D0-40AF-AE78-713574164054,X04,Orlando Apopka,150.0,
1,F154EC4D-D5AF-458E-B479-572699D8FB56,X06,Arcadia Muni,63.0,
2,A38E258E-0B52-425C-9C00-513574FA66D2,FD85,De Soto Mem Hospital,65.0,
3,3DC9A483-5CF2-4513-BD90-B54CF8DB88AE,09FL,Sunnybreeze,60.0,
4,4BE16D1D-C04C-4C31-BD06-494476E4B34C,26FD,Hennessy,50.0,
5,4FDFC926-0110-49E4-AA09-7ACDEA646F9A,0FA1,Ott's Landing,65.0,
6,DFF79F3D-2E1B-4E8E-956A-F0AD0DEDB5AB,FA64,Montgomery Ranch,75.0,
7,B7F2A563-4086-4ED3-A5D4-1281818304D8,8FL1,Mc Donald's Fld,54.0,
8,E758ACCD-8402-4D8C-85D1-018BDBE5A0C8,0J8,Flying Ten,90.0,
9,121F4F0F-4B81-48FA-AE79-5597FCEBBF95,FL66,Peach Orchard,75.0,
10,A9E40F7A-F391-423E-915C-196282EEF6D3,FA57,Archer Emergency,82.0,
11,5452C271-FE6B-4F51-A948-34C0AD786B1B,FA66,Travel Lodge,28.0,
12,C632C0F9-9D8D-49AD-85E6-866A9F93A62F,9FL5,Shady Bend,25.0,
13,E415DAD9-7857-40C2-A6FC-668F977CAE59,6FL9,Saw Whet Farms,50.0,
14,2E09CF09-82C0-4C6D-860B-17FA54D14D59,37FL,Flying Harness Farms,78.0,
15,AA92190B-BA41-4720-8BC7-90F4ACA2DCC3,86FD,Country Landings,55.0,
16,53C5C1A2-3479-4C63-ADD3-5B8538348278,X10,Belle Glade State Muni,14.0,
17,D7781B53-6BEC-4DCB-A969-7167A33FECAA,FA69,Duda Airstrip,14.0,
18,8B1830E9-8EED-44B7-8782-F41ED7CB2D8E,9FA2,Lakeside Medical Center,11.0,
19,FE6AA5DE-F5C0-4D8D-8935-F10CBD7F2FCC,0FL5,Lake Conway South,80.0,
20,9EE9DB36-4972-443C-A088-907F7D0667CF,2FA2,Monroe Arpk,75.0,
21,708F9159-E834-4A3F-89BF-FB9A828AA8BB,8FL3,Back Achers,90.0,
